	B6_rep1	B6_rep2	B6_rep3	D2_rep1	D2_rep2	D2_rep3
Chd3os	2665	2472	1819	2329	2544	2950
Chd4	12539	11652	9156	8259	9287	9263
Chd5	3293	3014	2426	1635	1845	1944
Chd6	6490	5917	4769	4041	4768	4739
Chd7	10435	10582	8682	7029	7992	7935
Chd8	5850	5657	4304	3632	4403	4448
Chd9	11750	10648	8334	6201	7314	7570
Chdh	312	267	214	178	215	235
Chek1	42	60	41	30	37	48
Chek2	54	65	53	42	44	46
Cherp	903	925	674	540	618	610
Chfr	2052	1968	1500	1507	1750	1762
Chga	5519	5334	3712	3828	4014	4647
Chgb	10567	10137	7809	7203	8144	8787
Chia1	8	10	8	0	0	0
Chic1	2312	2006	1551	1504	1675	1770
Chic2	1432	1358	1010	945	1117	1192
Chid1	1328	1197	1019	866	1004	1101
Chil1	723	581	445	416	487	511
Chil3	2	1	0	0	0	1
Chil4	0	0	0	0	0	0
Chil5	5	24	28	1	1	3
Chil6	0	0	0	0	0	0
Chit1	3	4	1	0	2	4
Chka	1018	999	824	683	765	810
Chkb	1892	1937	1394	1422	1561	1613
Chl1	563	490	383	358	428	344
Chm	3381	3048	2108	2140	2325	2608
Chml	938	863	606	612	654	649
Chmp1a	1919	1848	1427	1305	1460	1611
Chmp1b	1460	1393	1005	942	978	1197
Chmp2a	4085	3851	2974	2836	3131	3393
Chmp2b	1259	1225	926	767	943	1015
Chmp3	3839	3748	2758	2539	2866	3249
Chmp4b	4622	4301	3175	3121	3216	3718
Chmp4c	72	101	67	42	43	40
Chmp5	4542	4259	3139	2986	3316	3710
Chmp6	1454	1325	1024	967	1053	1040
Chmp7	2885	2558	1941	1862	2072	2321
Chn1	8400	7952	5819	5763	5990	6948
Chn1os1	1625	1508	1146	1141	1166	1355
Chn1os3	1618	1564	1115	1148	1147	1355
Chn2	1153	990	725	852	868	1062
Chodl	118	115	87	74	92	79
Chordc1	2475	2438	1817	1557	1793	1953
Chp1	2426	2312	1727	1705	1765	1904
Chp2	21	10	11	15	12	10
Chpf	1295	1242	985	823	911	941
Chpf2	2010	1980	1492	1372	1656	1608
Chpt1	1475	1412	914	884	1012	1046
Chrac1	1327	1327	952	1044	1266	1323
Chrd	148	185	122	122	157	143
Chrdl1	1275	1051	732	630	714	780
Chrdl2	0	0	2	1	0	2
Chrm1	255	243	173	152	176	202
Chrm2	818	691	544	590	644	728
Chrm3	399	345	259	233	247	257
Chrm4	33	35	22	35	25	32
Chrm5	20	22	13	15	11	16
Chrna1	25	16	11	17	14	23
Chrna10	4	8	3	3	3	2
Chrna1os	27	36	16	14	17	24
Chrna2	258	198	177	159	159	149
Chrna3	190	178	124	138	172	163
Chrna4	645	638	454	566	568	620
Chrna5	227	182	99	309	349	292
Chrna6	5037	4473	3173	3431	3527	4093
Chrna7	384	397	283	197	258	281
Chrna9	0	0	0	0	0	0
Chrnb1	570	474	421	603	791	749
Chrnb2	4132	3779	3001	2640	2891	3274
Chrnb3	1345	1307	908	1110	1233	1290
Chrnb4	88	108	65	56	77	71
Chrnd	0	0	0	0	0	0
Chrne	17	10	6	15	12	17
Chrng	14	11	5	11	4	14
Chst1	688	674	504	468	518	608
Chst10	762	734	486	552	558	664
Chst11	481	464	357	313	331	382
Chst12	125	145	97	113	125	130
Chst13	0	0	0	1	0	0
Chst14	65	61	49	74	62	76
Chst15	337	289	240	206	229	269
Chst2	3284	3146	2134	2951	3061	3540
Chst3	2438	2206	1891	1236	1385	1381
Chst4	0	0	2	0	0	0
Chst5	2	4	3	2	3	5
Chst7	7	11	12	0	6	9
Chst8	93	55	47	41	49	46
Chst9	337	347	213	225	274	291
Chsy1	4241	4031	3130	3446	3728	4352
Chsy3	40	40	28	24	34	30
Chtf18	2787	2575	1893	1832	2045	2319
Chtf8	4033	3684	2793	2458	2796	3032
Chtop	10667	10397	7911	7441	7845	8740
Chuk	2600	2394	1907	1676	2113	2024
Churc1	986	876	674	601	652	805
Ciao1	2427	2475	1739	1634	1765	2021
Ciapin1	2252	2071	1680	1902	1867	2193
Ciart	787	825	533	422	501	520
Cib1	307	270	212	222	229	279
Cib2	268	265	176	172	234	239
Cib3	0	0	0	0	0	0
Cib4	0	2	0	3	0	1
Cic	3324	3252	2605	2388	2643	2595
Cidea	49	42	33	30	36	38
